2000
(825,182,78)
(1886,1720,189)
(267,1860,99)
(1628,1058,199)
(1937,1640,30)
(571,555,247)
(1214,1249,182)
(863,10,264)
(1497,105,27)
(350,1826,198)
(1342,354,125)
(876,1398,268)
(862,1009,53)
(834,1287,212)
(1855,1850,33)
(926,1968,105)
(1160,371,68)
(1936,182,190)
(1706,1724,166)
(1321,1813,105)
(80,1695,208)
(1534,1621,67)
(1248,560,96)
(1744,1039,252)
(497,451,69)
(556,411,167)
(1857,681,91)
(509,1556,52)
(218,1431,89)
(979,1348,117)
(619,691,129)
(1731,593,45)
(1407,1734,102)
(893,378,174)
(326,836,185)
(873,837,239)
(171,459,300)
(1038,1581,127)
(1462,471,179)
(333,1689,226)
(730,1335,256)
(267,249,139)
(1378,927,209)
(1379,587,275)
(1067,1173,226)
(1013,1302,16)
(1700,791,47)
(433,1460,181)
(1146,1679,92)
(1868,1055,231)
(877,310,21)
(173,1244,56)
(1035,1644,260)
(1348,1698,277)
(1517,1272,167)
(1621,905,28)
(1989,696,109)
(1703,980,81)
(1267,1319,36)
(1910,851,261)
(1244,993,5)
(1961,603,83)
(1599,115,29)
(519,1748,135)
(1878,443,226)
(894,1127,282)
(899,670,191)
(1302,1296,143)
(1077,524,81)
(1687,673,164)
(1115,309,55)
(1306,1450,154)
(1976,625,168)
(263,1554,177)
(268,916,23)
(1479,1699,45)
(941,1769,241)
(567,435,272)
(1936,116,271)
(30,288,152)
(952,447,54)
(179,1222,22)
(1051,697,205)
(1451,481,202)
(1759,986,278)
(914,1463,205)
(1294,673,2)
(1098,1773,236)
(1077,1948,298)
(1978,536,131)
(1064,1251,95)
(1252,1655,217)
(735,1800,5)
(551,1375,279)
(131,461,213)
(986,1232,292)
(39,516,200)
(1074,324,257)
(396,1939,283)
(1752,1013,29)
(670,420,230)
(1315,1327,60)
(1182,572,171)
(429,1037,114)
(1697,1817,227)
(291,288,231)
(713,457,165)
(387,971,66)
(1267,710,268)
(399,237,267)
(251,1971,176)
(934,371,113)
(914,611,60)
(1159,1803,188)
(897,1910,295)
(1656,1465,246)
(1642,273,270)
(214,1961,191)
(637,822,60)
(1590,418,176)
(1111,1089,215)
(490,550,212)
(845,924,83)
(1317,274,134)
(533,633,210)
(1439,1940,188)
(572,805,53)
(739,1665,64)
(813,147,289)
(1481,1017,233)
(312,1858,96)
(1789,1173,104)
(99,114,165)
(786,672,75)
(850,1087,209)
(1598,418,223)
(935,806,161)
(1300,645,213)
(758,1526,152)
(1613,167,5)
(1342,1100,175)
(520,226,70)
(286,689,251)
(687,111,129)
(172,451,115)
(1662,1613,106)
(1860,1328,218)
(809,1186,102)
(1366,518,186)
(257,851,28)
(773,730,133)
(1117,214,60)
(282,823,245)
(1874,379,183)
(1198,373,33)
(172,1767,231)
(472,714,300)
(199,1192,259)
(595,1683,194)
(698,1659,67)
(1267,1360,28)
(1592,1323,164)
(3,500,67)
(1514,568,157)
(1092,1624,80)
(534,1170,15)
(1402,1979,126)
(858,579,77)
(1130,1983,217)
(807,1772,60)
(666,337,4)
(791,745,295)
(583,641,87)
(693,1278,200)
(240,878,239)
(1507,1897,85)
(1430,1431,82)
(569,1832,201)
(950,1640,110)
(565,1437,240)
(1209,44,288)
(896,1353,254)
(524,1329,161)
(1971,22,51)
(866,831,108)
(1737,1456,51)
(1230,1258,55)
(1305,430,128)
(162,1440,32)
(25,580,193)
(141,675,177)
(1558,956,272)
(69,1828,292)
(1984,854,215)
(834,1567,256)
(1805,24,257)
(511,986,97)
(625,1256,85)
(1844,1329,152)
(1129,1595,104)
(1939,88,120)
(543,689,57)
(1341,1012,113)
(1313,1358,13)
(664,1857,269)
(686,604,294)
(601,1352,179)
(157,1373,189)
(427,1564,209)
(310,917,252)
(748,1200,255)
(1173,904,289)
(1349,7,223)
(1080,682,259)
(1315,973,273)
(1601,1039,203)
(50,1105,84)
(937,26,295)
(1634,55,14)
(368,1584,220)
(386,704,115)
(1339,1537,160)
(518,1037,276)
(174,521,210)
(1331,1348,189)
(1324,1520,93)
(122,1311,187)
(1668,1193,159)
(215,353,145)
(1932,1949,140)
(1419,1546,160)
(933,831,61)
(1001,585,158)
(129,1420,254)
(988,961,283)
(1158,740,259)
(1452,997,51)
(1266,1443,136)
(916,1250,142)
(1260,82,151)
(1015,344,138)
(1940,1531,294)
(1976,1100,176)
(345,1441,60)
(201,1283,14)
(1341,355,144)
(956,583,43)
(1629,753,216)
(337,1829,186)
(172,834,203)
(802,712,53)
(1152,728,100)
(1919,1739,170)
(1589,514,230)
(1759,1899,274)
(384,704,147)
(446,55,97)
(371,1586,11)
(1,914,201)
(1964,71,286)
(1669,1227,83)
(325,553,15)
(1731,1248,167)
(1155,1366,140)
(233,1904,218)
(1019,1107,208)
(249,196,130)
(1383,1840,235)
(381,1273,47)
(1226,35,249)
(1832,1227,85)
(1166,1293,138)
(538,594,30)
(310,826,245)
(1729,1999,33)
(1397,1619,33)
(369,939,265)
(973,60,220)
(319,1973,136)
(1986,1813,281)
(325,170,94)
(1015,1491,63)
(1874,581,210)
(1545,1549,73)
(486,886,213)
(1256,174,115)
(886,1435,282)
(849,589,146)
(1377,1342,243)
(1791,1483,144)
(1337,1499,182)
(1883,1382,129)
(122,1683,216)
(1698,735,269)
(1795,1932,180)
(661,1608,39)
(71,31,166)
(1633,1879,64)
(1988,14,142)
(1157,912,56)
(882,244,294)
(228,1255,8)
(271,1719,74)
(306,730,267)
(1146,1199,110)
(1340,124,95)
(1149,605,223)
(147,778,247)
(281,892,136)
(1696,1753,258)
(1574,243,224)
(1454,1042,136)
(909,147,231)
(317,704,71)
(844,275,14)
(173,1221,229)
(1037,1363,226)
(184,227,56)
(949,1139,240)
(426,766,209)
(1350,1237,163)
(568,1006,138)
(964,1127,234)
(1965,1973,31)
(1048,1630,22)
(1132,1399,293)
(1629,677,109)
(1541,1235,285)
(1975,1581,94)
(536,1187,71)
(480,80,70)
(1938,1694,245)
(446,716,279)
(171,749,160)
(269,970,193)
(167,1406,171)
(262,222,188)
(1886,160,20)
(83,1794,132)
(273,745,288)
(745,16,149)
(447,1083,270)
(34,1304,254)
(1679,970,82)
(317,1163,53)
(1105,1241,51)
