100
(84,47,48)
(70,54,24)
(93,6,261)
(60,12,269)
(34,97,108)
(60,18,107)
(35,87,45)
(16,4,78)
(15,53,234)
(35,20,45)
(30,93,100)
(58,27,138)
(57,23,264)
(17,58,270)
(91,83,132)
(23,24,233)
(97,98,115)
(7,37,247)
(54,61,47)
(49,58,245)
(26,16,17)
(13,15,141)
(71,85,294)
(96,12,1)
(25,74,295)
(2,41,111)
(18,47,226)
(63,50,169)
(19,11,195)
(12,42,199)
(54,98,4)
(54,60,16)
(75,57,209)
(83,61,74)
(79,35,111)
(1,53,114)
(44,66,187)
(76,15,140)
(43,44,290)
(61,41,222)
(80,53,125)
(53,86,276)
(13,87,14)
(7,98,256)
(3,54,97)
(47,93,261)
(70,55,105)
(30,32,288)
(51,47,220)
(32,17,100)
(19,16,195)
(50,17,291)
(13,40,140)
(29,31,54)
(55,24,173)
(91,39,69)
(42,11,8)
(37,74,160)
(20,76,169)
(98,25,72)
(58,61,202)
(84,58,193)
(39,47,14)
(15,71,160)
(98,65,87)
(68,39,31)
(19,12,140)
(61,29,127)
(78,53,85)
(86,13,50)
(70,73,281)
(60,30,300)
(18,88,136)
(84,62,226)
(83,28,292)
(79,93,260)
(8,78,16)
(89,48,143)
(28,25,145)
(58,65,197)
(54,46,5)
(10,94,115)
(42,41,260)
(59,98,88)
(52,55,60)
(81,54,242)
(47,32,286)
(37,34,9)
(83,26,273)
(68,57,227)
(25,3,141)
(77,85,214)
(50,38,14)
(6,21,41)
(65,3,89)
(53,85,24)
(2,47,287)
(16,1,171)
(89,91,286)
(56,79,298)
(53,31,17)
(73,95,245)
(71,52,4)
(90,91,235)
(9,39,276)
(79,78,9)
(36,15,52)
(42,77,300)
(44,32,142)
(8,68,243)
(16,45,17)
(91,93,248)
(3,96,209)
(15,97,63)
(98,52,17)
(11,76,52)
(95,1,260)
(5,75,86)
(49,43,33)
(42,24,101)
(88,69,91)
(41,53,153)
(4,54,168)
(64,55,126)
(43,52,178)
(72,23,8)
(32,82,133)
(37,15,127)
(49,2,195)
(42,33,82)
(6,75,79)
(94,12,79)
(24,18,154)
(39,61,152)
(45,65,92)
(36,40,173)
(67,56,146)
(75,3,111)
(84,60,59)
(25,36,176)
(85,72,185)
(37,70,256)
(71,20,97)
(6,2,152)
(13,6,38)
(64,89,15)
(73,82,266)
(67,65,48)
(92,54,259)
(50,99,225)
(97,49,220)
(22,1,209)
(16,90,77)
(45,99,83)
(74,4,161)
(67,71,272)
(57,9,150)
(94,79,127)
(39,96,22)
(36,17,239)
(15,47,253)
(68,72,141)
(70,41,26)
(95,57,115)
(67,29,277)
(64,17,152)
(68,27,222)
(53,68,232)
(6,48,137)
(59,18,54)
(69,95,127)
(54,73,119)
(58,23,134)
(5,24,204)
(27,3,29)
(42,14,40)
(57,47,217)
(99,58,273)
(17,75,49)
(55,98,129)
(42,97,17)
(66,47,27)
(23,61,199)
(5,30,235)
(79,64,90)
(38,29,61)
(16,6,285)
(96,71,197)
(90,53,208)
(67,8,31)
(45,26,102)
(63,55,257)
(14,41,99)
(5,28,3)
(48,95,176)
(84,77,59)
(7,5,285)
(15,38,128)
(68,16,39)
(12,34,263)
(41,39,169)
(82,57,244)
(99,61,95)
(16,20,65)
(75,51,292)
(94,15,177)
(62,17,6)
(4,30,272)
(57,18,259)
(4,88,140)
(81,35,300)
(37,65,76)
(93,65,2)
(79,98,23)
(13,53,215)
(42,57,102)
(92,75,193)
(40,6,163)
(17,25,37)
(36,81,225)
(74,3,102)
(33,12,170)
(90,83,116)
(87,66,54)
(49,14,253)
(23,20,227)
(59,7,74)
(44,5,268)
(88,28,30)
(89,12,194)
(54,99,271)
(6,74,117)
(41,67,297)
(2,65,219)
(53,79,180)
(38,44,89)
(21,74,149)
(24,1,241)
(14,76,110)
(37,81,68)
(95,87,166)
(24,17,80)
(52,89,173)
(59,27,140)
(21,69,119)
(10,82,129)
(16,85,66)
(33,78,33)
(7,80,139)
(62,14,166)
(77,93,263)
(31,88,22)
(57,13,151)
(88,37,141)
(2,12,166)
(86,72,228)
(86,6,253)
(4,53,75)
(76,9,222)
(10,75,154)
(82,52,226)
(98,68,224)
(71,70,181)
(75,43,266)
(2,10,234)
(13,31,75)
(92,14,107)
(65,97,90)
(69,57,275)
(78,61,38)
